node_id,node_type,node_name,parent_id,parent_type,idn_id,idn_name,hco_id,hco_name,linked_customer_id,linked_doctor_npi,gpo_membership,gpo_tier,credit_limit,hierarchy_status,confidence_score,iqvia_affiliation,iqvia_delta,iqvia_delta_detail
NODE-IDN-001,IDN,Southeast Health System,,,,IDN-001,Southeast Health System,,,,Premier,Tier1,150000.0,ACTIVE,94.0,Southeast Health System,NO,
NODE-IDN-002,IDN,Carolina Medical Group,,,,IDN-002,Carolina Medical Group,,,,Vizient,Tier2,120000.0,ACTIVE,88.0,Carolina Medical Group,NO,
NODE-IDN-003,IDN,MedStar Alliance,,,,IDN-003,MedStar Alliance,,,,HealthTrust,Tier1,200000.0,ACTIVE,91.0,MedStar Alliance,NO,
NODE-HCO-01,HCO,Durham Regional Medical Center,NODE-IDN-001,IDN,IDN-001,Southeast Health System,HCO-01,Durham Regional Medical Center,,,Premier,Tier1,50000.0,ACTIVE,96.0,Durham Regional Medical Center,NO,
NODE-HCO-02,HCO,Coastal Medical Center,NODE-IDN-001,IDN,IDN-001,Southeast Health System,HCO-02,Coastal Medical Center,,,Premier,Tier1,40000.0,ACTIVE,92.0,Coastal Medical Center,NO,
NODE-HCO-03,HCO,Capital Regional Orthopedics,NODE-IDN-001,IDN,IDN-001,Southeast Health System,HCO-03,Capital Regional Orthopedics,,,Premier,Tier1,60000.0,ACTIVE,89.0,Capital Regional Orthopedics,NO,
NODE-HCO-04,HCO,Raleigh General Hospital,NODE-IDN-002,IDN,IDN-002,Carolina Medical Group,HCO-04,Raleigh General Hospital,,,Vizient,Tier2,45000.0,ACTIVE,91.0,Raleigh General Hospital,NO,
NODE-HCO-05,HCO,Piedmont Medical Institute,NODE-IDN-002,IDN,IDN-002,Carolina Medical Group,HCO-05,Piedmont Medical Institute,,,Vizient,Tier2,35000.0,ACTIVE,85.0,Piedmont Medical Institute,NO,
NODE-HCO-06,HCO,Triad Orthopedic Center,NODE-IDN-002,IDN,IDN-002,Carolina Medical Group,HCO-06,Triad Orthopedic Center,,,Vizient,Tier2,55000.0,ACTIVE,90.0,Triad Orthopedic Center,NO,
NODE-HCO-07,HCO,Charlotte Medical Center,NODE-IDN-003,IDN,IDN-003,MedStar Alliance,HCO-07,Charlotte Medical Center,,,HealthTrust,Tier1,75000.0,ACTIVE,93.0,Charlotte Medical Center,NO,
