alert_id,alert_type,title,description,financial_tier,dollar_impact,primary_persona,primary_owner_name,primary_owner_role,linked_records,linked_screen,linked_filter,status,detected_date,severity,prescribed_action_1,prescribed_action_2,prescribed_action_3,regulation_reference,secondary_persona_note
ALT-001,IQVIA_AFFILIATION_CHANGE,IQVIA Delta: Dr. James Whitfield Affiliation Change,IQVIA roster shows Dr. Whitfield moved from IDN-001 to IDN-002 and internal master is not updated.,Medium,24000.0,MDM Lead,Marcus Johnson,Master Data Management Lead,DOC-001|DOC-009|DOC-015,/hierarchy,tab=iqvia,Open,2026-04-01,HIGH,Re-map Dr. Whitfield to IDN-002,Update GPO eligibility from Premier Tier1 to Vizient Tier2,Trigger territory realignment review for REP-01 and REP-03,,Also involves: Sales Leadership
ALT-002,IQVIA_NPI_UPDATE,IQVIA Delta: Dr. Robert Patel Specialty Change,IQVIA shows Dr. Patel specialty updated and internal doctor master is stale.,Medium,12000.0,MDM Lead,Marcus Johnson,Master Data Management Lead,DOC-003,/hierarchy,tab=iqvia,Open,2026-04-01,MEDIUM,Update doctor specialty in DOCTORS_MASTER,Re-run specialty mismatch checks,Verify prescription eligibility under new specialty,,Also involves: RxIntegrity team
ALT-003,ORPHANED_CLINIC,Orphaned Clinic: Cape Institute Has Active Order,Cape Institute has active order but no parent IDN mapping and is paying list price.,High,1300.0,Commercial Ops,Linda Torres,Commercial Operations Data Steward,CUST-1009|ORD-020,/hierarchy,customer=CUST-1009,Open,2026-03-28,HIGH,Map customer to IDN-002,Enroll in Vizient GPO,Issue credit memo for overpayment,,
ALT-004,GPO_PRICING_CONFLICT,GPO Conflict: StimRouter — CUST-1005,Southeast Group charged above HealthTrust Tier1 contract pricing.,High,1200.0,Pricing Analyst,REP-05,Pricing Analyst,CUST-1005|GPC-003|ORD-010,/revenue,tab=gpo&highlight=GPC-003,Open,2026-04-05,HIGH,Validate membership,Issue credit memo if confirmed,Else update tier and initiate dispute,,Also involves: Market Access
ALT-005,GPO_PRICING_CONFLICT,GPO Conflict: StimRouter — CUST-1007,Piedmont Associates charged above HealthTrust Tier1 contract pricing.,High,1200.0,Pricing Analyst,REP-05,Pricing Analyst,CUST-1007|GPC-004|ORD-012,/revenue,tab=gpo&highlight=GPC-004,Open,2026-04-05,HIGH,Validate membership,Issue credit memo if confirmed,Else update tier and initiate dispute,,Also involves: Market Access
ALT-006,GPO_PRICING_CONFLICT,GPO Conflict: neXus System — CUST-1003,Raleigh Clinic charged above Vizient Tier2 contract pricing for 2 units.,High,1700.0,Pricing Analyst,REP-03,Pricing Analyst,CUST-1003|GPC-005|ORD-005,/revenue,tab=gpo&highlight=GPC-005,Open,2026-04-03,HIGH,Issue $1700 credit memo,Update pricing master,Add pre-shipment validation rule,,
ALT-007,TAX_JURISDICTION_MISMATCH,Tax: ORD-005 NC→AZ Jurisdiction,Order invoiced under wrong tax jurisdiction with high exposure.,Medium,1105.0,Tax & Compliance,Linda Torres,Tax & Compliance Analyst,CUST-1005|ORD-005,/revenue,tab=tax&highlight=ORD-005,Open,2026-04-08,HIGH,Validate delivery address,Apply NC tax code and corrected invoice,Amend state filing if needed,21 CFR Part 820,
ALT-008,TAX_JURISDICTION_MISMATCH,Tax: ORD-008 NC→CO Jurisdiction,Second largest tax exposure from jurisdiction mismatch.,Medium,1105.0,Tax & Compliance,Linda Torres,Tax & Compliance Analyst,CUST-1028|ORD-008,/revenue,tab=tax&highlight=ORD-008,Open,2026-04-08,HIGH,Validate delivery address,Apply NC tax code and corrected invoice,Amend state filing if needed,,
ALT-009,CREDIT_LIMIT_BREACH,Credit Limit Breach: IDN-003 MedStar Alliance,Aggregate exposure across subsidiaries with recalled orders included.,High,56280.0,Credit & AR,Finance Team,Credit & Accounts Receivable Analyst,CUST-1005|CUST-1008|CUST-1010|CUST-1028,/hierarchy,idn=IDN-003,Open,2026-04-10,HIGH,Review aggregate exposure,Place hold on CUST-1028,Route extension request if needed,,
ALT-010,DUPLICATE_HCP,Duplicate HCP: Dr. James Whitfield — 3-Way NPI Conflict,Three records share name with different NPIs causing tracing risk.,Medium,36000.0,MDM Lead,Marcus Johnson,Master Data Management Lead,DOC-001|DOC-009|DOC-015,/rx-integrity,tab=duplicates,Open,2026-03-15,MEDIUM,Run NPI crosswalk,Merge duplicate records,Update downstream references,21 CFR Part 1306,Also involves: Compliance team
