alert_id,account_id,account_name,order_id,issue_type,priority,dollar_exposure,margin_at_risk,penalty_exposure,legal_risk,invoice_status,pre_invoice,sla_days_remaining,opened_date,status,cfo_assignee,tax_owner_id,tax_owner_name,tax_owner_team,pricing_owner_id,pricing_owner_name,pricing_owner_team,ai_fix_1,ai_confidence_1,ai_source_1,ai_fix_2,ai_confidence_2,ai_source_2,root_cause_primary,root_cause_secondary,capa_ids,next_action_tax,next_action_pricing,correct_jurisdiction,applied_jurisdiction,list_price,contract_price
CFO-ALERT-001,CUST-2011,Northeast Medical,ORD-031,Tax Jurisdiction Mismatch + Pricing Override,CRITICAL,28400.0,9660.0,16220.0,State audit trigger avoidable if jurisdiction corrected before filing,Pre-Invoice,1,2,2026-04-05,Open,Unassigned,TAX-03,Jennifer Mills,Tax Team,PRICE-04,David Chen,Pricing Team,Correct ORD-031 jurisdiction from Arizona to North Carolina + update address master for CUST-2011,91.0,SAP + State Tax Database,Revert ORD-031 from list price $850 to GPO Tier-2 rate $720 for CUST-2011,88.0,GPO Contract Repository,Sold-to address for CUST-2011 not updated in SAP after customer relocated from Arizona to North Carolina — system defaulted to bill-to state for tax jurisdiction assignment,GPO Tier-2 contract rate not refreshed in pricing engine after last contract renewal — system fell back to list price,CAPA-007,CAPA-012,Correct sold-to jurisdiction before invoice generation — 2 days remaining,Revert ORD-031 to GPO Tier-2 rate before invoice generation — 2 days remaining,North Carolina,Arizona,850.0,720.0
CFO-ALERT-002,CUST-4019,Alliance Health Group,ORD-029,GPO Chargeback Dispute,CRITICAL,142000.0,48280.0,8740.0,GPO contract penalty exposure if dispute unresolved — CFO executive approval required,Post-Invoice,0,5,2026-03-28,Open,FIN-02,,,,FIN-02,Marcus Webb,Finance Team,Reroute CUST-4019 chargeback to correct GPO contract tier,88.0,GPO Contract Repository,,0.0,,Chargeback amount exceeds contract ceiling — incorrect GPO tier applied at order creation for CUST-4019,,CAPA-012,,Reroute to correct contract tier — 5 days remaining,,,1220.0,980.0
CFO-ALERT-004,CUST-0892,Central Hospital,ORD-033,Tax Jurisdiction Mismatch,MEDIUM,3300.0,1122.0,1535.0,State audit risk if not corrected before period close,Pre-Invoice,1,3,2026-04-02,Open,TAX-05,TAX-05,Robert Chan,Tax Team,,,,Correct ORD-033 jurisdiction to Illinois and update SAP address master for CUST-0892,90.0,SAP + State Tax Database,,0.0,,Billing address still reflects prior Missouri bill-to after customer master relocation to Illinois,,CAPA-007,Update jurisdiction before invoicing — 3 days remaining,,Illinois,Missouri,0.0,0.0
CFO-ALERT-005,CUST-3042,Valley Health,ORD-035,Tax Jurisdiction Mismatch,MEDIUM,3300.0,1122.0,1535.0,Revenue recovery blocked pending jurisdiction correction,Post-Invoice,0,6,2026-03-18,Open,TAX-04,TAX-04,Emily Carter,Tax Team,,,,Correct overpayment — reduce New York rate to Ohio for ORD-035,87.0,SAP Address Master + State Tax Database,,0.0,,New York tax rate applied on Valley Health Ohio sold-to order — customer over-taxed,,CAPA-007,,Correct jurisdiction — 6 days remaining,,Ohio,New York,0.0,0.0
CFO-ALERT-006,CUST-3101,Westfield Health,ORD-027,Pricing Override — List Price Applied,MEDIUM,6800.0,2312.0,3162.0,Credit memo required — revenue recognized at incorrect price,Post-Invoice,0,9,2026-03-22,Open,PRICE-04,,,,PRICE-04,David Chen,Pricing Team,Revert ORD-027 pricing to contracted rate and issue credit memo for CUST-3101,86.0,GPO Contract Repository,,0.0,,Sales order pricing engine bypassed contract rate lookup — manual override applied list price instead of GPO Tier-2 rate,,CAPA-012,,Revert to contract rate and issue credit memo — 9 days remaining,,,920.0,760.0
CFO-ALERT-007,CUST-2011,Northeast Medical,ORD-036,Tax Jurisdiction Mismatch,MEDIUM,3300.0,1122.0,1535.0,Tax overpayment exposure if jurisdiction not corrected,Post-Invoice,0,8,2026-03-10,Open,TAX-03,TAX-03,Jennifer Mills,Tax Team,,,,Correct overpayment — reduce South Carolina rate to North Carolina for ORD-036,86.0,SAP Address Master + State Tax Database,,0.0,,South Carolina rate applied on Northeast Medical North Carolina sold-to — overpayment pattern on split shipment,,CAPA-011,,Correct jurisdiction — 8 days remaining,,North Carolina,South Carolina,0.0,0.0
CFO-ALERT-008,CUST-1087,Riverside Clinic,ORD-034,Tax Jurisdiction Mismatch,MEDIUM,3300.0,1122.0,1535.0,State audit risk if not corrected before invoicing,Pre-Invoice,1,5,2026-04-01,Open,TAX-03,TAX-03,Jennifer Mills,Tax Team,,,,Correct ORD-034 jurisdiction to Washington and update SAP address master for CUST-1087,89.0,SAP + State Tax Database,,0.0,,Stale bill-to jurisdiction on Riverside Clinic order entry — Oregon rate applied on Washington sold-to line,,CAPA-007,Update jurisdiction before invoicing — 5 days remaining,,Washington,Oregon,0.0,0.0
CFO-ALERT-009,CUST-6033,Harbor Health System,ORD-038,Tax Jurisdiction Mismatch,LOW,5300.0,1802.0,2465.0,Underpayment risk — secondary state filing required,Pre-Invoice,1,12,2026-03-18,Open,TAX-04,TAX-04,Emily Carter,Tax Team,,,,Correct ORD-038 jurisdiction to match sold-to state and update SAP address master,86.0,SAP Address Master,,0.0,,Customer relocated — SAP address master not updated after relocation — system assigned default billing state,,CAPA-007,File jurisdiction correction — 12 days remaining,,North Carolina,Arizona,0.0,0.0
CFO-ALERT-010,CUST-7044,Greenfield Medical,ORD-039,GPO Tier Mismatch,LOW,4700.0,1598.0,2186.0,Overbilling risk — revenue adjustment required post-close,Post-Invoice,0,14,2026-03-15,Open,FIN-03,,,,FIN-03,Rachel Kim,Finance Team,Correct GPO tier assignment for ORD-039 and issue credit memo to CUST-7044,83.0,GPO Contract Repository,,0.0,,New GPO tier effective 2026-01-01 not reflected in pricing master for CUST-7044 — prior tier applied for three orders,,CAPA-012,,Correct tier and issue credit memo — 14 days remaining,,,1120.0,950.0
CFO-ALERT-011,CUST-8055,Eastside Clinic,ORD-040,Pricing Override — List Price Applied,LOW,4100.0,1394.0,1907.0,Credit memo required before invoicing,Pre-Invoice,1,5,2026-04-02,Open,PRICE-04,,,,PRICE-04,David Chen,Pricing Team,Revert ORD-040 to contract rate before invoicing CUST-8055,82.0,GPO Contract Repository,,0.0,,Contract renewal effective 2026-03-15 not synchronized to order management system — list price applied for new-period order,,CAPA-012,,Revert before invoicing — 5 days remaining,,,850.0,710.0
