issue_id,order_id,customer_id,customer_name,issue_type,priority,dollar_value,invoice_status,urgency_label,owner_id,owner_name,ai_fix,ai_confidence,ai_source,correct_tier,applied_tier,gpo_name,product,sla_days_remaining,opened_date,status,contract_id,credit_memo_required,overcharge_per_unit,quantity_affected,capa_id,root_cause,risk_revenue,risk_chargeback,risk_compliance,risk_gpo
PRK-ISS-001,ORD-010,CUST-1005,Southeast Group,GPO Pricing Conflict,HIGH,12000.0,Invoiced,3 days to next audit,REP-05,Marcus Johnson,Update CUST-1005 GPO tier to HealthTrust Tier1 in SAP + issue credit memo for $1200,94.0,IQVIA Roster + GPO Contract,HealthTrust Tier1,List Price,HealthTrust,StimRouter,3,2026-04-05,Open,GPC-003,1,600.0,2,CAPA-002,GPO membership tier for CUST-1005 not updated in SAP pricing master after IQVIA roster change — list price $12000 applied instead of contracted HealthTrust Tier1 $10800,Revenue at risk — chargeback initiated,$1200 chargeback exposure,GPO compliance audit flag active,Contributing to 87% GPO mapping accuracy flag
PRK-ISS-002,ORD-012,CUST-1007,Northeast Alliance Clinic,GPO Pricing Conflict,HIGH,12000.0,Invoiced,5 days to next audit,REP-03,Jennifer Mills,Update CUST-1007 GPO tier to HealthTrust Tier1 in SAP + issue credit memo for $1200,91.0,IQVIA Roster + GPO Contract,HealthTrust Tier1,List Price,HealthTrust,StimRouter,5,2026-04-03,Open,GPC-004,1,600.0,2,CAPA-002,GPO membership tier for CUST-1007 not updated in SAP pricing master — system applied list price instead of contracted HealthTrust Tier1,Revenue at risk if chargeback escalates,$1200 chargeback exposure,GPO compliance flag,Contributing to 87% GPO mapping accuracy flag
PRK-ISS-003,ORD-005,CUST-1003,Valley Medical Center,GPO Pricing Conflict,HIGH,17000.0,Invoiced,7 days to resolution,REP-04,Daniel Ortiz,Update CUST-1003 GPO tier to Vizient Tier2 in SAP + issue credit memo for $1700,89.0,IQVIA Roster + GPO Contract,Vizient Tier2,List Price,Vizient,neXus System,7,2026-04-01,Open,GPC-005,1,850.0,2,CAPA-002,Vizient Tier2 contract for CUST-1003 not reflected in SAP at order creation — list price applied instead of contracted rate,Revenue at risk,$1700 chargeback exposure,GPO audit flag,Contributing to 87% GPO mapping flag
PRK-ISS-004,ORD-001,CUST-1001,Premier Health Group,GPO Pricing Conflict,MEDIUM,6800.0,Invoiced,12 days to resolution,REP-03,Jennifer Mills,Update CUST-1001 GPO tier to Premier Tier2 in SAP + issue credit memo for $260,88.0,IQVIA Roster,Premier Tier2,List Price,Premier,DUROLANE 3mL,12,2026-03-20,Open,GPC-001,1,130.0,2,CAPA-002,Premier Tier2 contract not applied at order creation for CUST-1001 — SAP pricing master not updated after GPO enrollment,Revenue at risk,$260 chargeback exposure,Low audit risk,Contributing to 87% GPO mapping flag
PRK-ISS-005,ORD-006,CUST-1026,Midtown Orthopedic Clinic,GPO Pricing Conflict,MEDIUM,6800.0,Invoiced,14 days to resolution,REP-05,Marcus Johnson,Update CUST-1026 GPO tier to Premier Tier2 in SAP + issue credit memo for $260,85.0,IQVIA Roster,Premier Tier2,List Price,Premier,DUROLANE 3mL,14,2026-03-18,Open,GPC-001,1,130.0,2,CAPA-002,Premier Tier2 contract not applied at order creation for CUST-1026 — same root cause as CUST-1001,Revenue at risk,$260 chargeback exposure,Low audit risk,Contributing to 87% GPO mapping flag
PRK-ISS-006,ORD-023,CUST-1012,Regional Surgical Center,GPO Pricing Conflict,HIGH,4270.0,Invoiced,6 days to resolution,REP-04,Daniel Ortiz,Resolve CUST-1012 duplicate GPO contract conflict — verify correct tier and issue correction memo,87.0,IQVIA Roster + Contract Master,Verified GPO Tier,CONFLICT,Premier,DUROLANE 3mL,6,2026-04-02,Open,GPC-014,1,0.0,2,CAPA-002,Duplicate GPO contract assignment detected for CUST-1012 — conflicting tier records in SAP prevent correct price application,Revenue at risk from disputed pricing,$4270 potential chargeback,Compliance flag active,Contributing to 87% accuracy flag
PRK-ISS-007,ORD-020,CUST-1009,Greenfield Spine Clinic,No GPO Membership,LOW,2500.0,Invoiced,18 days to action,REP-03,Jennifer Mills,Enroll CUST-1009 in Vizient GPO and update SAP pricing master to apply Tier3 savings going forward,84.0,IQVIA Roster,Vizient Tier3,List Price (No GPO),None — No Membership,SUPARTZ FX 2.5mL,18,2026-03-15,Open,GPC-013,0,65.0,7,CAPA-002,CUST-1009 has no active GPO membership on file — paying full list price $650 vs available Vizient Tier3 $585. Customer losing $65/unit savings,Revenue leakage (customer overpaying),N/A — no chargeback,Low compliance risk,Unmapped — contributing to 87% accuracy flag
PRK-ISS-008,,CUST-1027,Lakeside Medical Partners,Contract Expiring,MEDIUM,14000.0,,28 days to expiry,REP-05,Marcus Johnson,Initiate GPC-011 TalisMann contract renewal with Premier Tier1 pricing before expiry,90.0,Contract Master + IQVIA,Premier Tier1,Expiring,Premier,TalisMann,28,2026-04-01,Open,GPC-011,0,0.0,0,CAPA-002,GPC-011 TalisMann contract expires in 28 days — no renewal initiated. Customer will revert to list price $14000 vs Tier1 $12000,Revenue risk on renewal gap,$14000 contract value at risk,Compliance — contract lapse,GPO contract coverage at risk
PRK-ISS-009,,CUST-1028,Westside Surgical Institute,Contract Expiring,MEDIUM,13500.0,,28 days to expiry,REP-03,Jennifer Mills,Initiate GPC-012 StimTrial contract renewal with Premier Tier1 pricing before expiry,90.0,Contract Master + IQVIA,Premier Tier1,Expiring,Premier,StimTrial,28,2026-04-01,Open,GPC-012,0,0.0,0,CAPA-002,GPC-012 StimTrial contract expires in 28 days — renewal required to maintain Tier1 pricing for CUST-1028,Revenue risk on renewal,$13500 contract value at risk,Compliance — lapse risk,GPO coverage at risk
PRK-ISS-010,ORD-013,CUST-1027,Lakeside Medical Partners,Product Recalled,HIGH,4200.0,Invoiced,Immediate — regulatory violation,REP-05,Marcus Johnson,Recall ORD-013 EXOGEN 4.0 — issue full credit of $4200 and notify CUST-1027 of recall status immediately,93.0,Regulatory Database + Contract Master,N/A — Recalled,RECALLED,Vizient,EXOGEN 4.0,0,2026-04-03,Open,GPC-017,1,0.0,1,CAPA-002,ORD-013 for CUST-1027 was placed after EXOGEN 4.0 recall date (2025-09-15). Contract GPC-017 is now void — regulatory violation requiring immediate credit and notification,Regulatory and revenue risk,$4200 refund required,Regulatory violation — immediate action,Product removed from GPO catalog
PRK-ISS-011,ORD-048,CUST-1026,Capital Institute,Product Recalled,HIGH,4200.0,Invoiced,Immediate — regulatory violation,REP-03,Jennifer Mills,Recall ORD-048 EXOGEN 4.0 — issue full credit of $4200 and notify CUST-1026 of recall status immediately,93.0,Regulatory Database + Contract Master,N/A — Recalled,RECALLED,Premier,EXOGEN 4.0,0,2026-04-04,Open,GPC-016,1,0.0,1,CAPA-002,ORD-048 for CUST-1026 was placed after EXOGEN 4.0 recall date (2025-09-15). Contract GPC-016 is now void — regulatory violation requiring immediate credit and notification,Regulatory and revenue risk,$4200 refund required,Regulatory violation — immediate action,Product removed from GPO catalog
PRK-ISS-012,ORD-029,CUST-4019,Alliance Health Group,GPO Chargeback Dispute,CRITICAL,142000.0,Post-Invoice,5 days to resolution,REP-04,Daniel Ortiz,Reroute CUST-4019 chargeback to correct GPO contract tier + issue credit memo for ORD-029,91.0,GPO Contract Repository + IQVIA,Premier Tier1,List Price,Premier,TalisMann,5,2026-03-28,Open,GPC-011,1,0.0,1,CAPA-012,Chargeback amount exceeds contract ceiling — incorrect GPO tier applied at order creation for CUST-4019.,$142000 revenue at risk — chargeback dispute escalated to CFO,$8740 incremental chargeback exposure,GPO compliance audit flag active,Contributing to 87% GPO mapping accuracy flag
