issue_id,account_id,account_name,order_id,issue_type,team,priority,dollar_exposure,margin_at_risk,penalty_exposure,invoice_status,pre_invoice,sla_days_remaining,opened_date,status,current_owner_id,current_owner_name,current_owner_team,secondary_owner_id,secondary_owner_name,secondary_owner_team,sla_health,live_progress_primary,live_progress_secondary,completion_primary,completion_secondary,ai_fix_1,ai_confidence_1,ai_source_1,ai_fix_2,ai_confidence_2,ai_source_2,root_cause_primary,root_cause_secondary,capa_ids,next_action_primary,next_action_secondary,recurrence_count,recurrence_period,capa_exists,vp_action_signal
VP-ISS-001,CUST-2011,Northeast Medical,ORD-031,Tax Jurisdiction Mismatch + Pricing Override,Tax Team,CRITICAL,28400.0,9660.0,16220.0,Pre-Invoice,1,1,2026-04-05,Open,TAX-03,Jennifer Mills,Tax Team,PRICE-04,David Chen,Pricing Team,At Risk,Jurisdiction lookup in progress,Awaiting contract confirmation,50,30,Correct ORD-031 jurisdiction from Arizona to North Carolina + update address master for CUST-2011,91.0,SAP + State Tax Database,Revert ORD-031 from list price $850 to GPO Tier-2 rate $720 for CUST-2011,88.0,GPO Contract Repository,Sold-to address for CUST-2011 not updated in SAP after customer relocated from Arizona to North Carolina — system defaulted to bill-to state,GPO Tier-2 contract rate not refreshed in pricing engine after last contract renewal — system fell back to list price,CAPA-007|CAPA-012,Correct sold-to jurisdiction in SAP before invoice,Revert ORD-031 to GPO Tier-2 rate before invoice,3,this period,Yes,Monitor CAPA-007 — if pattern repeats escalate to CCO
VP-ISS-002,CUST-4019,Alliance Health Group,ORD-029,GPO Chargeback Dispute — Contract Ceiling Exceeded,Finance Team,CRITICAL,142000.0,48280.0,8740.0,Post-Invoice,0,2,2026-03-28,Open,FIN-02,Marcus Webb,Finance Team,,,,On Track,Chargeback verification in progress,,65,,Reroute CUST-4019 chargeback to correct GPO contract tier,88.0,GPO Contract Repository,,0.0,,Chargeback amount exceeds contract ceiling — incorrect GPO tier applied at order creation for CUST-4019,,CAPA-012,Reroute to correct contract tier,,2,this period,Yes,Follow up with Finance Lead — CAPA-012 due 05-20-2026
VP-ISS-003,CUST-0892,Central Hospital,ORD-028,Compliance Breach — Multi-Jurisdiction Filing,Compliance Team,CRITICAL,156000.0,53040.0,6680.0,Post-Invoice,0,0,2026-03-25,Open,CCO-02,James Torres,Compliance Team,TAX-05,Robert Chan,Tax Team,Breached,Filing correction initiated,Jurisdiction records under review,40,25,Correct multi-jurisdiction filing for CUST-0892 and align tax records across all affected states,87.0,State Tax Database + Compliance Register,,0.0,,Billing address spans multiple states — jurisdiction assignment logic selected incorrect primary state — multi-state filing obligation not triggered,Secondary state obligations not captured in compliance register at order entry,CAPA-007,File corrected multi-jurisdiction return — SLA breached 4 hours ago,Support compliance filing correction — urgent,1,this period,Yes,CAPA-007 in progress — escalation to CCO if breach not remediated today
VP-ISS-004,CUST-3042,Valley Health,ORD-025,GPO Contract Non-Compliance — Audit Flag,Finance Team,MEDIUM,12180.0,4141.0,5661.0,Post-Invoice,0,5,2026-03-27,Open,CCO-02,James Torres,Compliance Team,,,,On Track,GPO contract review in progress,,55,,Reconcile GPO contract terms for CUST-3042 and clear audit flag on ORD-025,85.0,GPO Contract Repository + Audit Register,,0.0,,Contract version mismatch between order management system and GPO repository — prior-period rate applied to current-period order triggering audit flag,,CAPA-011,Reconcile contract and clear audit flag,,1,this period,Yes,Monitor — CAPA-011 linked
VP-ISS-005,CUST-0892,Central Hospital,ORD-033,Tax Jurisdiction Mismatch,Tax Team,HIGH,3300.0,1122.0,1535.0,Pre-Invoice,1,3,2026-04-02,Open,TAX-05,Robert Chan,Tax Team,,,,Watch,Jurisdiction verification underway,,45,,Correct ORD-033 jurisdiction to Illinois and update SAP address master for CUST-0892,90.0,SAP + State Tax Database,,0.0,,Billing address still reflects prior Missouri bill-to after customer master relocation to Illinois,,CAPA-007,Update jurisdiction before invoicing,,2,this period,Yes,Monitor progress — CAPA-007 linked
VP-ISS-006,CUST-3042,Valley Health,ORD-035,Tax Jurisdiction Mismatch,Tax Team,MEDIUM,3300.0,1122.0,1535.0,Post-Invoice,0,6,2026-03-18,Open,TAX-04,Emily Carter,Tax Team,,,,On Track,Jurisdiction correction in progress,,55,,Correct overpayment — reduce New York rate to Ohio for ORD-035,87.0,SAP Address Master + State Tax Database,,0.0,,New York tax rate applied on Valley Health Ohio sold-to order — customer over-taxed,,CAPA-007,Correct jurisdiction and issue credit,,1,this period,Yes,Monitor — CAPA-007 linked
VP-ISS-007,CUST-3101,Westfield Health,ORD-027,Pricing Override — List Price Applied,Pricing Team,MEDIUM,6800.0,2312.0,3162.0,Post-Invoice,0,5,2026-03-22,Open,PRICE-04,David Chen,Pricing Team,,,,Watch,Credit memo preparation underway,,35,,Revert ORD-027 pricing to contracted rate and issue credit memo for CUST-3101,86.0,GPO Contract Repository,,0.0,,Sales order pricing engine bypassed contract rate lookup — manual override applied list price instead of GPO Tier-2 rate,,CAPA-012,Revert to contract rate and issue credit memo,,2,this period,Yes,Follow up with Pricing Lead on credit memo status
VP-ISS-008,CUST-2011,Northeast Medical,ORD-036,Tax Jurisdiction Mismatch,Tax Team,MEDIUM,3300.0,1122.0,1535.0,Post-Invoice,0,8,2026-03-10,Open,TAX-03,Jennifer Mills,Tax Team,,,,On Track,Jurisdiction correction in progress,,60,,Correct overpayment — reduce South Carolina rate to North Carolina for ORD-036,86.0,SAP Address Master + State Tax Database,,0.0,,South Carolina rate applied on Northeast Medical North Carolina sold-to — overpayment pattern on split shipment,,CAPA-011,Correct jurisdiction and issue credit,,1,this period,Yes,Monitor progress — CAPA-011 linked
VP-ISS-009,CUST-1087,Riverside Clinic,ORD-034,Tax Jurisdiction Mismatch,Tax Team,MEDIUM,3300.0,1122.0,1535.0,Pre-Invoice,1,5,2026-04-01,Open,TAX-03,Jennifer Mills,Tax Team,,,,On Track,Jurisdiction verification underway,,50,,Correct ORD-034 jurisdiction to Washington and update SAP address master for CUST-1087,89.0,SAP + State Tax Database,,0.0,,Stale bill-to jurisdiction on Riverside Clinic order entry — Oregon rate applied on Washington sold-to line,,CAPA-007,Update jurisdiction before invoicing,,1,this period,Yes,Monitor progress — CAPA-007 linked
VP-ISS-010,CUST-2201,Regional Health Alliance,ORD-50,Tax Jurisdiction Mismatch,Compliance Team,CRITICAL,6570.0,2234.0,3745.0,Post-Invoice,0,0,2026-03-11,Open,CCO-02,James Torres,Compliance Team,,,,Breached,Investigation in progress,,40,,Apply recommended correction for Regional Health Alliance — Tax Jurisdiction Mismatch,86.0,SAP + Contract Repository,,0.0,,Operational data mismatch detected for Regional Health Alliance — tax jurisdiction mismatch,,CAPA-007,Resolve tax jurisdiction mismatch for Regional Health Alliance,,2,this period,Yes,Monitor — standard portfolio review
