sla_id,linked_record_id,linked_record_type,linked_screen,linked_filter,department,owner_name,sla_description,sla_target_value,sla_target_unit,actual_elapsed,elapsed_unit,sla_status,breach_severity,financial_impact,prescribed_action,is_breached
SLA-001,CASE-5011,patient_support,/profiler,dataset=patient_support&highlight=CASE-5011,VP Quality,Dr. Sarah Kim,MDR filing required within 30 days of adverse event,30,days,47,days,BREACHED,CRITICAL,4200.0,File retroactive MDR via FDA MedWatch immediately. EXOGEN 4.0 adverse event — 30-day window exceeded by 17 days.,1
SLA-002,CASE-5012,patient_support,/profiler,dataset=patient_support&highlight=CASE-5012,VP Quality,Dr. Sarah Kim,MDR filing required within 30 days of adverse event,30,days,39,days,BREACHED,CRITICAL,4200.0,"File retroactive MDR. 39 days elapsed, 9 days over SLA.",1
SLA-003,ALT-003,alerts_queue,/hierarchy,customer=CUST-1009,Commercial Ops,Linda Torres,Orphaned clinic resolution within 48 hours of detection,48,hours,312,hours,BREACHED,HIGH,1300.0,"Map Cape Institute to IDN-002, enroll in Vizient GPO. 312 hours since detection — 264 hours over SLA.",1
SLA-004,CAPA-001,capa,/capa,highlight=CAPA-001,VP Quality,Dr. Sarah Kim,CAPA closure within 45 days of opening,45,days,47,days,BREACHED,CRITICAL,16800.0,"Close CAPA-001: file MDR, initiate EXOGEN retrieval, update workflow. 2 days over SLA.",1
SLA-005,ALT-009,alerts_queue,/hierarchy,idn=IDN-003,Credit & AR,Finance Team,Credit limit review within 24 hours of breach detection,24,hours,72,hours,BREACHED,HIGH,56280.0,"Review IDN-003 MedStar credit exposure $56,280. Place hold on CUST-1028. 48 hours over SLA.",1
SLA-006,CASE-5015,patient_support,/pii-shield,dataset=patient_support&view=consent_gaps&highlight=CASE-5015,CCO,CCO,Patient consent documentation within 7 days of case open,7,days,14,days,BREACHED,HIGH,0.0,Obtain consent documentation for CASE-5015. PHI present without consent. SLA breached — 7 days over.,1
SLA-007,GPC-011,gpo_contracts,/revenue,tab=market-access&highlight=GPC-011,Market Access,Market Access Team,Contract renewal initiated 30 days before expiry,30,days,28,days,ON TRACK,,14000.0,Initiate Premier renewal for TalisMann GPC-011. 2 days remaining in SLA window.,0
SLA-008,GPC-012,gpo_contracts,/revenue,tab=market-access&highlight=GPC-012,Market Access,Market Access Team,Contract renewal initiated 30 days before expiry,30,days,28,days,ON TRACK,,13500.0,Initiate Premier renewal for StimTrial GPC-012. 2 days remaining in SLA window.,0
SLA-009,CHB-003,chargeback_disputes,/revenue,tab=market-access&highlight=CHB-003,Market Access,Market Access Team,Chargeback dispute filed before expiry date,90,days,12,days,AT RISK,HIGH,1200.0,File CHB-003 StimRouter dispute before 12-day expiry. Validate HealthTrust membership FIRST.,0
SLA-010,ALT-017,alerts_queue,/profiler,dataset=sales_orders&filter=ghost_rep,Commercial Ops,Linda Torres,Ghost rep resolution within 48 hours of detection,48,hours,96,hours,BREACHED,HIGH,6800.0,Identify GHOST-REP-99. Re-attribute ORD-025 through ORD-027. Adjust commission. 48 hours over SLA.,1
